97300 100.00 705 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 3471549 3422254 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 81.00 677423 677517 M0_2_50000_blastdb_BL60006.dna.00650001.out 3881207 3881301 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 94.00 690324 690354 M0_2_50000_blastdb_BL60006.dna.00650001.out 3685469 3685439 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 91.00 684809 684843 M0_2_50000_blastdb_BL60006.dna.00650001.out 3461726 3461692 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 92.00 690322 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 3393391 3393427 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 96.00 684769 684795 M0_2_50000_blastdb_BL60006.dna.00650001.out 995207 995233 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 94.00 684769 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 873646 873616 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 94.00 684769 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 800876 800906 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 92.00 690322 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 709504 709468 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 96.00 684774 684800 M0_2_50000_blastdb_BL60006.dna.00650001.out 209270 209296 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 94.00 684769 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 119363 119393 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
46 91.00 684809 684843 M0_2_50000_blastdb_BL60006.dna.00650001.out 5074 5108 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4783200 4783168 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 690323 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 4778859 4778826 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 100.00 690338 690359 M0_2_50000_blastdb_BL60006.dna.00650001.out 4305099 4305078 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 86.00 672613 672662 M0_2_50000_blastdb_BL60006.dna.00650001.out 4285169 4285120 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 91.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4147099 4147066 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 96.00 691591 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4077067 4077042 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 91.00 684808 684841 M0_2_50000_blastdb_BL60006.dna.00650001.out 3802075 3802042 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 91.00 684809 684842 M0_2_50000_blastdb_BL60006.dna.00650001.out 3743650 3743683 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 3743682 3743650 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 691583 691612 M0_2_50000_blastdb_BL60006.dna.00650001.out 3647903 3647932 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 684771 684800 M0_2_50000_blastdb_BL60006.dna.00650001.out 3608380 3608409 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 684769 684798 M0_2_50000_blastdb_BL60006.dna.00650001.out 3245782 3245811 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 92.00 691583 691617 M0_2_50000_blastdb_BL60006.dna.00650001.out 3103375 3103411 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 684770 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 2985614 2985585 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 690323 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 2979079 2979046 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 2711985 2711953 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 684768 684797 M0_2_50000_blastdb_BL60006.dna.00650001.out 1758369 1758398 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 690323 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 1676151 1676184 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 87.00 672626 672671 M0_2_50000_blastdb_BL60006.dna.00650001.out 1365792 1365837 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 691583 691612 M0_2_50000_blastdb_BL60006.dna.00650001.out 723229 723200 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 93.00 684771 684800 M0_2_50000_blastdb_BL60006.dna.00650001.out 716789 716818 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 91.00 684809 684842 M0_2_50000_blastdb_BL60006.dna.00650001.out 232142 232175 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
44 94.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 5106 5074 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 690322 690354 M0_2_50000_blastdb_BL60006.dna.00650001.out 4793190 4793158 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 96.00 695950 695974 M0_2_50000_blastdb_BL60006.dna.00650001.out 4783168 4783192 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 684809 684841 M0_2_50000_blastdb_BL60006.dna.00650001.out 4782495 4782527 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 684809 684841 M0_2_50000_blastdb_BL60006.dna.00650001.out 4750620 4750588 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 690323 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 4745106 4745074 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 86.00 657658 657706 M0_2_50000_blastdb_BL60006.dna.00650001.out 4717971 4717923 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 94.00 690324 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 4664451 4664419 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 92.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4366702 4366737 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 93.00 672710 672738 M0_2_50000_blastdb_BL60006.dna.00650001.out 4132451 4132423 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 690338 690358 M0_2_50000_blastdb_BL60006.dna.00650001.out 4077059 4077039 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 684809 684841 M0_2_50000_blastdb_BL60006.dna.00650001.out 3980203 3980235 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 672642 672674 M0_2_50000_blastdb_BL60006.dna.00650001.out 3647979 3648011 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 684810 684842 M0_2_50000_blastdb_BL60006.dna.00650001.out 3594650 3594682 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 96.00 695950 695974 M0_2_50000_blastdb_BL60006.dna.00650001.out 3504677 3504653 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 96.00 684769 684793 M0_2_50000_blastdb_BL60006.dna.00650001.out 3227985 3228009 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 684769 684801 M0_2_50000_blastdb_BL60006.dna.00650001.out 3184141 3184109 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 92.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 2979958 2979993 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 92.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 2964820 2964855 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 93.00 684768 684796 M0_2_50000_blastdb_BL60006.dna.00650001.out 2686065 2686093 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 684768 684800 M0_2_50000_blastdb_BL60006.dna.00650001.out 2647688 2647656 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 94.00 684769 684801 M0_2_50000_blastdb_BL60006.dna.00650001.out 2492917 2492948 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 100.00 690337 690357 M0_2_50000_blastdb_BL60006.dna.00650001.out 2341414 2341394 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 90.00 691578 691615 M0_2_50000_blastdb_BL60006.dna.00650001.out 844570 844609 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 94.00 684768 684800 M0_2_50000_blastdb_BL60006.dna.00650001.out 844571 844540 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 94.00 684769 684801 M0_2_50000_blastdb_BL60006.dna.00650001.out 794053 794084 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 92.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 780611 780576 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 692389 692421 M0_2_50000_blastdb_BL60006.dna.00650001.out 646749 646717 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 91.00 684809 684841 M0_2_50000_blastdb_BL60006.dna.00650001.out 124829 124797 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
42 96.00 691591 691615 M0_2_50000_blastdb_BL60006.dna.00650001.out 109049 109073 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 93.00 684769 684796 M0_2_50000_blastdb_BL60006.dna.00650001.out 4664374 4664401 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 690338 690357 M0_2_50000_blastdb_BL60006.dna.00650001.out 4110141 4110122 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 93.00 684772 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 4049584 4049557 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 688303 688322 M0_2_50000_blastdb_BL60006.dna.00650001.out 3961695 3961714 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 686253 686272 M0_2_50000_blastdb_BL60006.dna.00650001.out 3693118 3693099 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 687339 687358 M0_2_50000_blastdb_BL60006.dna.00650001.out 3571112 3571093 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 684778 684797 M0_2_50000_blastdb_BL60006.dna.00650001.out 3150276 3150295 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 93.00 684770 684797 M0_2_50000_blastdb_BL60006.dna.00650001.out 2615659 2615686 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 690338 690357 M0_2_50000_blastdb_BL60006.dna.00650001.out 2478555 2478536 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 91.00 690323 690354 M0_2_50000_blastdb_BL60006.dna.00650001.out 2419392 2419423 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 93.00 672710 672737 M0_2_50000_blastdb_BL60006.dna.00650001.out 2334307 2334280 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 100.00 689292 689311 M0_2_50000_blastdb_BL60006.dna.00650001.out 1950930 1950911 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 91.00 699477 699508 M0_2_50000_blastdb_BL60006.dna.00650001.out 1017524 1017493 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
40 91.00 695891 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 57251 57220 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 684774 684796 M0_2_50000_blastdb_BL60006.dna.00650001.out 4767678 4767700 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 678659 678677 M0_2_50000_blastdb_BL60006.dna.00650001.out 4579540 4579558 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 684770 684800 M0_2_50000_blastdb_BL60006.dna.00650001.out 4400881 4400851 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 91.00 691585 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4369542 4369509 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 690337 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 4366719 4366737 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 692908 692926 M0_2_50000_blastdb_BL60006.dna.00650001.out 4364725 4364707 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 668197 668219 M0_2_50000_blastdb_BL60006.dna.00650001.out 4299283 4299305 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 684812 684842 M0_2_50000_blastdb_BL60006.dna.00650001.out 4262916 4262886 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 695892 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 4262878 4262848 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 695892 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 4158827 4158797 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 684769 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 4110168 4110198 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 691583 691613 M0_2_50000_blastdb_BL60006.dna.00650001.out 3959061 3959031 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 695892 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 3743691 3743721 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 679132 679150 M0_2_50000_blastdb_BL60006.dna.00650001.out 3660559 3660541 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 89.00 690321 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 3655254 3655220 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 695892 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 3594690 3594720 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 684769 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 3499815 3499845 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 690340 690358 M0_2_50000_blastdb_BL60006.dna.00650001.out 3299342 3299360 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 89.00 695891 695925 M0_2_50000_blastdb_BL60006.dna.00650001.out 3245780 3245814 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 93.00 663592 663618 M0_2_50000_blastdb_BL60006.dna.00650001.out 3237142 3237116 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 695652 695674 M0_2_50000_blastdb_BL60006.dna.00650001.out 3170387 3170365 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 89.00 684808 684841 M0_2_50000_blastdb_BL60006.dna.00650001.out 3103411 3103375 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 690338 690356 M0_2_50000_blastdb_BL60006.dna.00650001.out 2964838 2964856 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 93.00 679597 679623 M0_2_50000_blastdb_BL60006.dna.00650001.out 2794121 2794147 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 695892 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 2711994 2712024 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 90.00 684769 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 2517762 2517792 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 697710 697728 M0_2_50000_blastdb_BL60006.dna.00650001.out 2431915 2431933 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 691598 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 2341414 2341396 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 91.00 684808 684841 M0_2_50000_blastdb_BL60006.dna.00650001.out 1676185 1676151 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 699822 699840 M0_2_50000_blastdb_BL60006.dna.00650001.out 1017170 1017152 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 89.00 690321 690354 M0_2_50000_blastdb_BL60006.dna.00650001.out 844573 844609 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 91.00 691583 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 706864 706898 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 695222 695240 M0_2_50000_blastdb_BL60006.dna.00650001.out 532231 532249 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 93.00 681725 681751 M0_2_50000_blastdb_BL60006.dna.00650001.out 520686 520660 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 100.00 690317 690335 M0_2_50000_blastdb_BL60006.dna.00650001.out 381135 381117 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 684769 684791 M0_2_50000_blastdb_BL60006.dna.00650001.out 139558 139536 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
38 96.00 671143 671165 M0_2_50000_blastdb_BL60006.dna.00650001.out 71290 71268 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 684808 684825 M0_2_50000_blastdb_BL60006.dna.00650001.out 4751882 4751865 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 691600 691617 M0_2_50000_blastdb_BL60006.dna.00650001.out 4745090 4745073 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 655965 655982 M0_2_50000_blastdb_BL60006.dna.00650001.out 4716247 4716230 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 684770 684799 M0_2_50000_blastdb_BL60006.dna.00650001.out 4680640 4680669 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 684810 684827 M0_2_50000_blastdb_BL60006.dna.00650001.out 4673035 4673018 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 661092 661109 M0_2_50000_blastdb_BL60006.dna.00650001.out 4621781 4621764 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 671905 671922 M0_2_50000_blastdb_BL60006.dna.00650001.out 4550576 4550559 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690338 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 4369526 4369509 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 691599 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4305099 4305082 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690339 690356 M0_2_50000_blastdb_BL60006.dna.00650001.out 4294416 4294399 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 695893 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 4294362 4294391 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690338 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 4286992 4286975 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 691599 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4286992 4286975 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 684770 684791 M0_2_50000_blastdb_BL60006.dna.00650001.out 4286930 4286951 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 695893 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 4269550 4269579 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690338 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 4137337 4137320 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 691599 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4137337 4137320 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690340 690357 M0_2_50000_blastdb_BL60006.dna.00650001.out 4119396 4119379 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 695893 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 4119344 4119373 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 691599 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 4110141 4110124 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 655275 655292 M0_2_50000_blastdb_BL60006.dna.00650001.out 3937244 3937261 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690341 690358 M0_2_50000_blastdb_BL60006.dna.00650001.out 3904577 3904594 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 695893 695922 M0_2_50000_blastdb_BL60006.dna.00650001.out 3857628 3857599 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690339 690356 M0_2_50000_blastdb_BL60006.dna.00650001.out 3857568 3857585 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 698632 698649 M0_2_50000_blastdb_BL60006.dna.00650001.out 3853372 3853355 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 92.00 695949 695974 M0_2_50000_blastdb_BL60006.dna.00650001.out 3802075 3802050 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 683211 683228 M0_2_50000_blastdb_BL60006.dna.00650001.out 3726680 3726697 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 684809 684826 M0_2_50000_blastdb_BL60006.dna.00650001.out 3690307 3690290 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 695284 695301 M0_2_50000_blastdb_BL60006.dna.00650001.out 3606679 3606662 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 90.00 695892 695921 M0_2_50000_blastdb_BL60006.dna.00650001.out 3387882 3387911 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 676338 676355 M0_2_50000_blastdb_BL60006.dna.00650001.out 3357983 3358000 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 95.00 686771 686792 M0_2_50000_blastdb_BL60006.dna.00650001.out 3312187 3312208 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 92.00 684776 684801 M0_2_50000_blastdb_BL60006.dna.00650001.out 3300525 3300550 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 92.00 684770 684795 M0_2_50000_blastdb_BL60006.dna.00650001.out 3224484 3224459 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 691598 691615 M0_2_50000_blastdb_BL60006.dna.00650001.out 3209645 3209662 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690337 690354 M0_2_50000_blastdb_BL60006.dna.00650001.out 3209645 3209662 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 681720 681737 M0_2_50000_blastdb_BL60006.dna.00650001.out 3199010 3198993 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 695950 695967 M0_2_50000_blastdb_BL60006.dna.00650001.out 3175243 3175226 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690338 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 3103393 3103410 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 691599 691616 M0_2_50000_blastdb_BL60006.dna.00650001.out 3080965 3080982 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690338 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 3080965 3080982 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690319 690336 M0_2_50000_blastdb_BL60006.dna.00650001.out 3061698 3061715 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 690338 690355 M0_2_50000_blastdb_BL60006.dna.00650001.out 2979976 2979993 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
36 100.00 684026 684043 M0_2_50000_blastdb_BL60006.dna.00650001.out 2849483 2849500 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
