26870 98.00 1 14409 2_50000_blastdb_BX571856.fas.00000001.out 1 14412 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 821187 821205 2_50000_blastdb_BX571856.fas.00800001.out 594837 594855 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 96.00 815829 815851 2_50000_blastdb_BX571856.fas.00800001.out 416596 416574 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 815774 815792 2_50000_blastdb_BX571856.fas.00800001.out 406620 406638 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 849029 849047 2_50000_blastdb_BX571856.fas.00800001.out 406638 406620 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 90.00 829477 829507 2_50000_blastdb_BX571856.fas.00800001.out 366542 366572 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 849128 849146 2_50000_blastdb_BX571856.fas.00800001.out 253903 253885 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 821508 821526 2_50000_blastdb_BX571856.fas.00800001.out 241617 241635 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
38 100.00 831785 831803 2_50000_blastdb_BX571856.fas.00800001.out 73145 73163 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 832627 832644 2_50000_blastdb_BX571856.fas.00800001.out 2788482 2788499 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 832454 832475 2_50000_blastdb_BX571856.fas.00800001.out 2787326 2787347 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 815828 815849 2_50000_blastdb_BX571856.fas.00800001.out 2756375 2756354 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 848935 848956 2_50000_blastdb_BX571856.fas.00800001.out 2756319 2756340 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 87.00 846272 846309 2_50000_blastdb_BX571856.fas.00800001.out 2729937 2729900 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 825791 825808 2_50000_blastdb_BX571856.fas.00800001.out 2687320 2687337 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 92.00 848990 849015 2_50000_blastdb_BX571856.fas.00800001.out 2590935 2590960 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 815806 815827 2_50000_blastdb_BX571856.fas.00800001.out 2483703 2483682 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 821886 821903 2_50000_blastdb_BX571856.fas.00800001.out 2423447 2423430 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 806121 806138 2_50000_blastdb_BX571856.fas.00800001.out 2413764 2413747 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 842873 842890 2_50000_blastdb_BX571856.fas.00800001.out 2392180 2392197 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 826895 826912 2_50000_blastdb_BX571856.fas.00800001.out 2378708 2378725 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 834361 834378 2_50000_blastdb_BX571856.fas.00800001.out 2369373 2369356 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 836384 836401 2_50000_blastdb_BX571856.fas.00800001.out 2360759 2360776 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 822810 822827 2_50000_blastdb_BX571856.fas.00800001.out 2345647 2345630 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 832046 832063 2_50000_blastdb_BX571856.fas.00800001.out 2301524 2301507 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 86.00 815934 815975 2_50000_blastdb_BX571856.fas.00800001.out 2238131 2238172 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 843751 843772 2_50000_blastdb_BX571856.fas.00800001.out 2181707 2181686 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 834576 834593 2_50000_blastdb_BX571856.fas.00800001.out 2114532 2114549 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 831149 831166 2_50000_blastdb_BX571856.fas.00800001.out 2095402 2095385 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 808580 808597 2_50000_blastdb_BX571856.fas.00800001.out 2047072 2047055 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 848767 848784 2_50000_blastdb_BX571856.fas.00800001.out 1981256 1981273 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 815775 815792 2_50000_blastdb_BX571856.fas.00800001.out 1972006 1971989 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 815842 815863 2_50000_blastdb_BX571856.fas.00800001.out 1970427 1970406 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 846048 846065 2_50000_blastdb_BX571856.fas.00800001.out 1821622 1821605 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 838764 838781 2_50000_blastdb_BX571856.fas.00800001.out 1742958 1742975 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 845000 845017 2_50000_blastdb_BX571856.fas.00800001.out 1695673 1695656 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 88.00 848978 849011 2_50000_blastdb_BX571856.fas.00800001.out 1678252 1678285 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 80.00 815903 815984 2_50000_blastdb_BX571856.fas.00800001.out 1678079 1677998 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 829939 829956 2_50000_blastdb_BX571856.fas.00800001.out 1644851 1644868 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 836383 836400 2_50000_blastdb_BX571856.fas.00800001.out 1641064 1641047 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 825175 825192 2_50000_blastdb_BX571856.fas.00800001.out 1611424 1611407 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 812812 812829 2_50000_blastdb_BX571856.fas.00800001.out 1583092 1583075 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 835471 835492 2_50000_blastdb_BX571856.fas.00800001.out 1578134 1578155 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 800533 800554 2_50000_blastdb_BX571856.fas.00800001.out 1535122 1535101 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 849029 849046 2_50000_blastdb_BX571856.fas.00800001.out 1469214 1469231 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 815775 815792 2_50000_blastdb_BX571856.fas.00800001.out 1469231 1469214 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 88.00 815818 815851 2_50000_blastdb_BX571856.fas.00800001.out 1469245 1469212 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 811710 811727 2_50000_blastdb_BX571856.fas.00800001.out 1421884 1421867 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 815775 815792 2_50000_blastdb_BX571856.fas.00800001.out 1379428 1379445 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 849029 849046 2_50000_blastdb_BX571856.fas.00800001.out 1379445 1379428 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 88.00 815818 815851 2_50000_blastdb_BX571856.fas.00800001.out 1379414 1379447 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 839374 839391 2_50000_blastdb_BX571856.fas.00800001.out 1271455 1271438 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 92.00 839317 839342 2_50000_blastdb_BX571856.fas.00800001.out 1248041 1248016 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 815867 815888 2_50000_blastdb_BX571856.fas.00800001.out 1244219 1244198 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 844973 844990 2_50000_blastdb_BX571856.fas.00800001.out 1217846 1217829 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 815909 815926 2_50000_blastdb_BX571856.fas.00800001.out 1217344 1217361 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 815828 815849 2_50000_blastdb_BX571856.fas.00800001.out 1171219 1171240 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 806444 806461 2_50000_blastdb_BX571856.fas.00800001.out 1131405 1131422 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 812418 812435 2_50000_blastdb_BX571856.fas.00800001.out 951615 951632 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 815880 815901 2_50000_blastdb_BX571856.fas.00800001.out 812172 812193 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 827541 827562 2_50000_blastdb_BX571856.fas.00800001.out 810413 810434 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 819495 819512 2_50000_blastdb_BX571856.fas.00800001.out 805151 805168 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 849094 849111 2_50000_blastdb_BX571856.fas.00800001.out 780648 780631 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 817592 817609 2_50000_blastdb_BX571856.fas.00800001.out 583050 583033 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 812521 812538 2_50000_blastdb_BX571856.fas.00800001.out 561184 561201 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 92.00 843028 843053 2_50000_blastdb_BX571856.fas.00800001.out 448747 448772 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 831786 831803 2_50000_blastdb_BX571856.fas.00800001.out 434106 434123 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 843038 843055 2_50000_blastdb_BX571856.fas.00800001.out 386565 386582 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 848971 848988 2_50000_blastdb_BX571856.fas.00800001.out 366552 366535 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 826837 826854 2_50000_blastdb_BX571856.fas.00800001.out 360943 360926 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 849481 849498 2_50000_blastdb_BX571856.fas.00800001.out 299852 299869 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 826321 826338 2_50000_blastdb_BX571856.fas.00800001.out 265652 265669 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 92.00 848922 848947 2_50000_blastdb_BX571856.fas.00800001.out 256010 255985 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 95.00 814023 814044 2_50000_blastdb_BX571856.fas.00800001.out 165273 165294 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 812283 812300 2_50000_blastdb_BX571856.fas.00800001.out 151119 151102 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 813042 813059 2_50000_blastdb_BX571856.fas.00800001.out 129039 129022 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 804853 804870 2_50000_blastdb_BX571856.fas.00800001.out 125173 125156 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
36 100.00 828667 828684 2_50000_blastdb_BX571856.fas.00800001.out 124545 124562 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 810551 810571 2_50000_blastdb_BX571856.fas.00800001.out 2793339 2793319 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 802277 802293 2_50000_blastdb_BX571856.fas.00800001.out 2782365 2782349 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 826866 826882 2_50000_blastdb_BX571856.fas.00800001.out 2766639 2766655 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 815828 815844 2_50000_blastdb_BX571856.fas.00800001.out 2756264 2756248 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 825639 825655 2_50000_blastdb_BX571856.fas.00800001.out 2734439 2734423 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 846380 846396 2_50000_blastdb_BX571856.fas.00800001.out 2729829 2729813 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 826484 826500 2_50000_blastdb_BX571856.fas.00800001.out 2728214 2728198 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 826217 826233 2_50000_blastdb_BX571856.fas.00800001.out 2716556 2716572 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 800378 800394 2_50000_blastdb_BX571856.fas.00800001.out 2688632 2688616 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 801459 801475 2_50000_blastdb_BX571856.fas.00800001.out 2665580 2665596 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 839069 839085 2_50000_blastdb_BX571856.fas.00800001.out 2580249 2580265 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 841767 841783 2_50000_blastdb_BX571856.fas.00800001.out 2572513 2572497 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 846150 846166 2_50000_blastdb_BX571856.fas.00800001.out 2568959 2568975 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 837961 837977 2_50000_blastdb_BX571856.fas.00800001.out 2564782 2564798 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 812790 812806 2_50000_blastdb_BX571856.fas.00800001.out 2556389 2556405 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 838927 838943 2_50000_blastdb_BX571856.fas.00800001.out 2493140 2493156 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 803619 803639 2_50000_blastdb_BX571856.fas.00800001.out 2467398 2467378 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 843522 843538 2_50000_blastdb_BX571856.fas.00800001.out 2440478 2440494 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 800705 800721 2_50000_blastdb_BX571856.fas.00800001.out 2431087 2431103 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 825388 825404 2_50000_blastdb_BX571856.fas.00800001.out 2422523 2422507 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 831643 831659 2_50000_blastdb_BX571856.fas.00800001.out 2417111 2417095 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 809209 809225 2_50000_blastdb_BX571856.fas.00800001.out 2406063 2406047 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 829227 829243 2_50000_blastdb_BX571856.fas.00800001.out 2336807 2336823 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 843114 843134 2_50000_blastdb_BX571856.fas.00800001.out 2334164 2334144 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 812706 812722 2_50000_blastdb_BX571856.fas.00800001.out 2323468 2323452 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 815828 815844 2_50000_blastdb_BX571856.fas.00800001.out 2316733 2316717 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 802273 802289 2_50000_blastdb_BX571856.fas.00800001.out 2315274 2315258 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 806875 806895 2_50000_blastdb_BX571856.fas.00800001.out 2304627 2304647 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 816707 816723 2_50000_blastdb_BX571856.fas.00800001.out 2288043 2288059 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 801351 801367 2_50000_blastdb_BX571856.fas.00800001.out 2283323 2283307 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 804894 804910 2_50000_blastdb_BX571856.fas.00800001.out 2253147 2253131 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 825161 825177 2_50000_blastdb_BX571856.fas.00800001.out 2211470 2211454 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 829239 829259 2_50000_blastdb_BX571856.fas.00800001.out 2160078 2160058 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 800875 800891 2_50000_blastdb_BX571856.fas.00800001.out 2149403 2149387 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 845953 845973 2_50000_blastdb_BX571856.fas.00800001.out 2128419 2128439 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 822634 822650 2_50000_blastdb_BX571856.fas.00800001.out 2105639 2105655 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 819776 819792 2_50000_blastdb_BX571856.fas.00800001.out 2103637 2103653 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 804866 804882 2_50000_blastdb_BX571856.fas.00800001.out 2100015 2100031 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 841841 841857 2_50000_blastdb_BX571856.fas.00800001.out 2066141 2066157 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 825466 825482 2_50000_blastdb_BX571856.fas.00800001.out 2027620 2027604 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 825798 825822 2_50000_blastdb_BX571856.fas.00800001.out 2026234 2026258 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 805809 805825 2_50000_blastdb_BX571856.fas.00800001.out 2006771 2006787 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 815773 815789 2_50000_blastdb_BX571856.fas.00800001.out 1981359 1981343 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 810668 810684 2_50000_blastdb_BX571856.fas.00800001.out 1980411 1980427 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 809782 809802 2_50000_blastdb_BX571856.fas.00800001.out 1964041 1964021 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 840060 840080 2_50000_blastdb_BX571856.fas.00800001.out 1943993 1943973 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 840345 840361 2_50000_blastdb_BX571856.fas.00800001.out 1932860 1932844 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 829035 829051 2_50000_blastdb_BX571856.fas.00800001.out 1932360 1932344 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 813807 813823 2_50000_blastdb_BX571856.fas.00800001.out 1926388 1926404 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 839347 839363 2_50000_blastdb_BX571856.fas.00800001.out 1904977 1904961 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 845366 845382 2_50000_blastdb_BX571856.fas.00800001.out 1903968 1903952 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 816461 816477 2_50000_blastdb_BX571856.fas.00800001.out 1885914 1885930 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 816784 816800 2_50000_blastdb_BX571856.fas.00800001.out 1868103 1868119 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 842253 842269 2_50000_blastdb_BX571856.fas.00800001.out 1859750 1859766 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 837781 837797 2_50000_blastdb_BX571856.fas.00800001.out 1822948 1822964 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 829446 829466 2_50000_blastdb_BX571856.fas.00800001.out 1821111 1821131 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 88.00 849077 849109 2_50000_blastdb_BX571856.fas.00800001.out 1821074 1821042 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 837754 837770 2_50000_blastdb_BX571856.fas.00800001.out 1790058 1790074 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 815333 815349 2_50000_blastdb_BX571856.fas.00800001.out 1780592 1780576 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 849569 849585 2_50000_blastdb_BX571856.fas.00800001.out 1768877 1768861 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 848778 848798 2_50000_blastdb_BX571856.fas.00800001.out 1766311 1766331 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 833567 833583 2_50000_blastdb_BX571856.fas.00800001.out 1754407 1754391 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 846845 846861 2_50000_blastdb_BX571856.fas.00800001.out 1754170 1754154 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 841095 841115 2_50000_blastdb_BX571856.fas.00800001.out 1752767 1752787 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 808337 808353 2_50000_blastdb_BX571856.fas.00800001.out 1706143 1706127 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 804886 804906 2_50000_blastdb_BX571856.fas.00800001.out 1697047 1697027 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 846475 846491 2_50000_blastdb_BX571856.fas.00800001.out 1694470 1694454 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 849102 849122 2_50000_blastdb_BX571856.fas.00800001.out 1678323 1678343 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 88.00 848971 849003 2_50000_blastdb_BX571856.fas.00800001.out 1678186 1678218 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 812284 812300 2_50000_blastdb_BX571856.fas.00800001.out 1676833 1676849 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 809017 809033 2_50000_blastdb_BX571856.fas.00800001.out 1671188 1671172 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 824475 824491 2_50000_blastdb_BX571856.fas.00800001.out 1664377 1664393 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 833500 833520 2_50000_blastdb_BX571856.fas.00800001.out 1661707 1661687 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 828795 828811 2_50000_blastdb_BX571856.fas.00800001.out 1660166 1660182 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 830753 830769 2_50000_blastdb_BX571856.fas.00800001.out 1659810 1659826 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 829517 829541 2_50000_blastdb_BX571856.fas.00800001.out 1658674 1658698 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 830228 830244 2_50000_blastdb_BX571856.fas.00800001.out 1654527 1654511 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 804052 804068 2_50000_blastdb_BX571856.fas.00800001.out 1641539 1641523 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 841701 841717 2_50000_blastdb_BX571856.fas.00800001.out 1630998 1631014 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 807412 807428 2_50000_blastdb_BX571856.fas.00800001.out 1611654 1611638 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 809784 809800 2_50000_blastdb_BX571856.fas.00800001.out 1559763 1559747 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 830279 830295 2_50000_blastdb_BX571856.fas.00800001.out 1559166 1559150 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 829446 829466 2_50000_blastdb_BX571856.fas.00800001.out 1509254 1509274 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 827201 827217 2_50000_blastdb_BX571856.fas.00800001.out 1489889 1489905 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 816468 816484 2_50000_blastdb_BX571856.fas.00800001.out 1468619 1468603 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 847406 847422 2_50000_blastdb_BX571856.fas.00800001.out 1459041 1459057 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 813131 813147 2_50000_blastdb_BX571856.fas.00800001.out 1449872 1449856 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 833144 833160 2_50000_blastdb_BX571856.fas.00800001.out 1442442 1442426 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 837697 837713 2_50000_blastdb_BX571856.fas.00800001.out 1441128 1441112 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 847750 847766 2_50000_blastdb_BX571856.fas.00800001.out 1430630 1430646 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 815806 815826 2_50000_blastdb_BX571856.fas.00800001.out 1429305 1429285 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 800039 800055 2_50000_blastdb_BX571856.fas.00800001.out 1413442 1413426 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 809161 809177 2_50000_blastdb_BX571856.fas.00800001.out 1397221 1397205 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 838038 838058 2_50000_blastdb_BX571856.fas.00800001.out 1351215 1351235 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 829485 829501 2_50000_blastdb_BX571856.fas.00800001.out 1350365 1350381 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 836992 837008 2_50000_blastdb_BX571856.fas.00800001.out 1299931 1299947 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 847730 847746 2_50000_blastdb_BX571856.fas.00800001.out 1297820 1297804 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 827846 827866 2_50000_blastdb_BX571856.fas.00800001.out 1295390 1295410 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 837526 837542 2_50000_blastdb_BX571856.fas.00800001.out 1268934 1268918 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 807415 807431 2_50000_blastdb_BX571856.fas.00800001.out 1262346 1262330 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 815828 815844 2_50000_blastdb_BX571856.fas.00800001.out 1255009 1255025 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 830836 830852 2_50000_blastdb_BX571856.fas.00800001.out 1206223 1206207 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 800383 800399 2_50000_blastdb_BX571856.fas.00800001.out 1186847 1186863 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 829446 829466 2_50000_blastdb_BX571856.fas.00800001.out 1171254 1171274 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 848991 849011 2_50000_blastdb_BX571856.fas.00800001.out 1167370 1167350 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 815828 815852 2_50000_blastdb_BX571856.fas.00800001.out 1167254 1167278 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 837111 837131 2_50000_blastdb_BX571856.fas.00800001.out 1144131 1144111 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 806977 806993 2_50000_blastdb_BX571856.fas.00800001.out 1137010 1137026 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 808774 808790 2_50000_blastdb_BX571856.fas.00800001.out 1132502 1132486 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 826518 826534 2_50000_blastdb_BX571856.fas.00800001.out 1120236 1120252 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 95.00 816330 816350 2_50000_blastdb_BX571856.fas.00800001.out 1103038 1103018 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 92.00 815818 815842 2_50000_blastdb_BX571856.fas.00800001.out 1070543 1070519 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 843655 843671 2_50000_blastdb_BX571856.fas.00800001.out 1063151 1063167 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
34 100.00 801064 801080 2_50000_blastdb_BX571856.fas.00800001.out 1060922 1060906 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
