Id,Sample_Name,Country_Of_Isolation,Longitude,Latitude,Year,Accession,Source,Serotype,Transmission_Event,Transmission_Event__color,Transmission_Event__shape,LAT,LAT__color,LAT__shape,Wave,Wave__color,Wave__shape,ampicillin__color,chloramphenicol__color,cefalotin__color,ciprofloxacin__color,colistin__color,cefotaxime__color,doxycycline__color,erythromycin__color,nitrofurantoin__color,nalidixic_acid__color,norfloxacin__color,vibriostatic_agent_O129__color,ofloxacin__color,polymyxin_B__color,pefloxacin__color,streptomycin__color,sulfonamides__color,trimethoprim_sulfamethoxazole__color,tetracycline__color,incA_C_plasmid,SXT_R391,GI_AMR,blaTEM,blaCARB,blaSHV,blaOXA,blaCTX_M,blaACT,blaCMY,strA_strB,aadA1,aadA2,aph_3___I,Other_aminoglycosides,aadA_New,catB9,catA1,catA2,floR,cmlA1,mphA,others,sul1,sul2,tet_A_,tet_B_,tet_C_,tet_D_,tet_G_,tet_New,dfrA1,dfrA12,dfrA15,dfrA18,dfrA23,dfrA30,dfrA31,dfrA_New,PMQR,gyrA,gyrB,parC,parE
ERR579087,132_CDC,China,104.195397,35.861660,1978,ERR579087,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579919,2578_CDC,China,104.195397,35.861660,1985,ERR579919,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576995,3626_CDC,China,104.195397,35.861660,1983,ERR576995,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579070,2580_CDC,China,104.195397,35.861660,1989,ERR579070,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576987,3735_CDC,China,104.195397,35.861660,1988,ERR576987,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576996,3595_CDC,China,104.195397,35.861660,1983,ERR576996,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579072,2574_CDC,China,104.195397,35.861660,1980,ERR579072,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR577139,3564_CDC,China,104.195397,35.861660,1982,ERR577139,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR577141,3497_CDC,China,104.195397,35.861660,1980,ERR577141,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579062,2833_CDC,China,104.195397,35.861660,1979,ERR579062,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579065,2752_CDC,China,104.195397,35.861660,1981,ERR579065,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576988,3633_CDC,China,104.195397,35.861660,1984,ERR576988,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579088,1283_CDC,China,104.195397,35.861660,1984,ERR579088,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
4075_3_11,GP60,India,78.962880,20.593684,1973,ERR018186,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
4075_3_2,GP152,India,78.962880,20.593684,1979,ERR018188,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579049,3270_CDC,China,104.195397,35.861660,1977,ERR579049,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
5174_7_9,A22,Bangladesh,90.356331,23.684994,1979,ERR025386,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
4056_8_3,A397,Bangladesh,90.356331,23.684994,1987,ERR018176,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,wt(sSNPC1269G)
CNRVC150216_GTGAAA_L001,CNRVC150216,Turkey,35.243322,38.963745,1976,ERR1879390,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#D85027,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC150214_GTAGAG_L001,CNRVC150214,Romania,24.966760,45.943161,1981,ERR1879388,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKI-ZBS2-CH99_TAATCG_L002,RKI-ZBS2-CH99,Turkey,35.243322,38.963745,1980,ERR1880797,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC150218_GTTTCG_L001,CNRVC150218,Ethiopia,40.489673,9.145000,1985,ERR1879392,Clinical,Ogawa,T4,#105B78,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC150234_CATTTT_L001,CNRVC150234,Somalia,46.199616,5.152149,1985,ERR1879536,Clinical,Inaba,T4,#105B78,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
16244_7_31,CNRVC980044,Djibouti,42.590275,11.825138,1985,ERR976482,Clinical,Ogawa,T4,#105B78,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
16244_7_27,CNRVC980039,Djibouti,42.590275,11.825138,1985,ERR976478,Clinical,Ogawa,T4,#105B78,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
4075_3_6,GP143,Bahrain,50.557700,26.066700,1978,ERR018192,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC150236_CCAACA_L001,CNRVC150236,Somalia,46.199616,5.152149,1985,ERR1879537,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,IncA_C2,,,blaTEM-1B,,,,,,,strA_strB,,,aph(3')-Ic,,,catB9,,,,,,,,sul2,,,,,,,,,,,,,,,,,,,
RC9,RC9,Kenya,37.906193,-0.023559,1985,ACHX00000000,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,IncA_C2,,,,,,,,,,strA_strB,,aadA2,,,,catB9,,,,,,,sul1,sul2,,,,tet(D),,,,,,,dfrA23,,,,,,,,
16244_7_36,CNRVC980050,DemocraticRepublicoftheCongo,21.758664,-4.038333,NA,ERR976487,Clinical,Autoagglutinable,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#D85027,#D85027,#D85027,#117899,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,aadA1,,aph(3')-Ic,,,catB9,catA1,,,,,,sul1,sul2,,,tet(C),,,,dfrA1,,dfrA15,,,,,,,,,,
16244_6_53,CNRVC930170,DemocraticRepublicoftheCongo,21.758664,-4.038333,1984,ERR976410,Clinical,Autoagglutinable,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#117899,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,aadA1,,aph(3')-Ic,,,catB9,catA1,,,,,,sul1,sul2,,,tet(C),,,,dfrA1,,dfrA15,,,,,,,,,,
16244_7_33,CNRVC980047,DemocraticRepublicoftheCongo,21.758664,-4.038333,1988,ERR976484,Clinical,Inaba,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,,,,
16244_6_47,CNRVC930163,DemocraticRepublicoftheCongo,1.659626,28.033886,1988,ERR976404,Clinical,Inaba,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#D85027,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,,,,
16244_7_73,CNRVC920169,DemocraticRepublicoftheCongo,21.758664,-4.038333,1992,ERR976524,Clinical,Inaba,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#117899,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#D85027,#D85027,#D85027,IncA_C2,,,,,,,,,,,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),,,,,,,dfrA15,,,,,,,,,,
16244_7_75,CNRVC930185,DemocraticRepublicoftheCongo,21.758664,-4.038333,1993,ERR976526,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,,,tet(B),tet(C),,,,,,dfrA15,,,,,,,,,,
16244_7_70,CNRVC910429,DemocraticRepublicoftheCongo,21.758664,-4.038333,1991,ERR976521,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,,,,
16244_7_74,CNRVC930153,DemocraticRepublicoftheCongo,21.758664,-4.038333,1993,ERR976525,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,,,,
CDCF5197,F5197,Zambia,27.849332,-13.133897,1998,ERR1880764,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,,,,
CDCF5198,F5198,Zambia,27.849332,-13.133897,1998,ERR1880765,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,,,,
CDCB9631_rep,B9631,Rwanda,29.873888,-1.940278,1998,ERR1877614,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,S83R,,,
CDCB9632_rep,B9632,Rwanda,29.873888,-1.940278,1998,ERR1877615,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,S83R,,,
16244_6_57,CNRVC940051,Rwanda,29.873888,-1.940278,1988,ERR976414,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,S83R,,,
CNRVC970056_CATTTT_L002,CNRVC970056,Burundi,29.918886,-3.373056,1997,ERR1879636,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
16356_8_66,CNRVC960328,Rwanda,29.873888,-1.940278,1996,ERR998721,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
16356_8_67,CNRVC960329,Rwanda,29.873888,-1.940278,1996,ERR998722,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
16356_8_4,CNRVC940173,DemocraticRepublicoftheCongo,21.758664,-4.038333,1994,ERR998659,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,D87Y,,,
16244_7_93,CNRVC940143,DemocraticRepublicoftheCongo,21.758664,-4.038333,1994,ERR976544,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,D87Y,,,
16356_8_59,CNRVC960308,DemocraticRepublicoftheCongo,21.758664,-4.038333,1996,ERR998714,Clinical,Inaba,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),,,,,,,dfrA15,,,,,,,D87Y,,,
16356_8_60,CNRVC960312,Rwanda,29.873888,-1.940278,1996,ERR998715,Clinical,Inaba,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,D87Y,,,
16356_8_61,CNRVC960317,Rwanda,29.873888,-1.940278,1996,ERR998716,Clinical,Inaba,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#D85027,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,D87Y,,,
16356_8_58,CNRVC960299,Rwanda,29.873888,-1.940278,1996,ERR998713,Clinical,Inaba,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,,,tet(B),tet(C),,,,,,dfrA15,,,,,,,D87Y,,,
16356_8_78,CNRVC970058,DemocraticRepublicoftheCongo,21.758664,-4.038333,1997,ERR998733,Clinical,Ogawa,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,sul2,,tet(B),tet(C),,,,,,dfrA15,,,,,,,D87Y,,,
16356_8_68,CNRVC970004,DemocraticRepublicoftheCongo,21.758664,-4.038333,1997,ERR998723,Clinical,Inaba,T5,#ECAA37,circle,,white,circle,1,#D85027,circle,#D85027,#D85027,#117899,#117899,#117899,#117899,#D85027,#D85027,#D85027,#117899,#117899,#D85027,#117899,#117899,#117899,#D85027,#D85027,#D85027,#D85027,IncA_C2,,,,blaCARB-4,,,,,,strA_strB,,,,,,catB9,catA1,,,,,,sul1,,,tet(B),tet(C),,,,,,dfrA15,,,,,,,D87Y,,,
